[23.08.19 16:39:44:505]: Exception: RunnableImpl.run|Calculator:calc(191)<-L2Character:calcStat(929)<-L2Player:getMaxHp(11974)<-CharInfo:<init>(175)<-L2Player:newCharInfo(2551)<-L2Player:broadcastCharInfo(2563)<-L2ObjectTasks:runImpl(455)<-RunnableImpl:run(23)<-Executors:call(511)<-FutureTask:run$$$capture(266)<-FutureTask:run(-1)<-ScheduledThreadPoolExecutor:access$201(180)<-ScheduledThreadPoolExecutor:run(293)<-ThreadPoolExecutor:runWorker(1149)<-ThreadPoolExecutor:run(624)<-Thread:run(750)<-
[23.08.19 16:39:47:509]: Exception: RunnableImpl.run|Calculator:calc(191)<-L2Character:calcStat(929)<-L2Player:getMaxHp(11974)<-L2Player:checkHpMessages(8560)<-L2Character:runImpl(4501)<-RunnableImpl:run(23)<-SteppingRunnable:run(76)<-SteppingRunnable:run(228)<-Executors:call(511)<-FutureTask:runAndReset$$$capture(308)<-FutureTask:runAndReset(-1)<-ScheduledThreadPoolExecutor:access$301(180)<-ScheduledThreadPoolExecutor:run(294)<-ThreadPoolExecutor:runWorker(1149)<-ThreadPoolExecutor:run(624)<-Thread:run(750)<-
[23.08.19 16:39:50:839]: Exception: RunnableImpl.run|Calculator:calc(191)<-L2Character:calcStat(929)<-L2Player:getMaxHp(11974)<-L2Player:checkHpMessages(8560)<-L2Character:runImpl(4501)<-RunnableImpl:run(23)<-SteppingRunnable:run(76)<-SteppingRunnable:run(228)<-Executors:call(511)<-FutureTask:runAndReset$$$capture(308)<-FutureTask:runAndReset(-1)<-ScheduledThreadPoolExecutor:access$301(180)<-ScheduledThreadPoolExecutor:run(294)<-ThreadPoolExecutor:runWorker(1149)<-ThreadPoolExecutor:run(624)<-Thread:run(750)<-
[23.08.19 16:39:54:180]: Exception: RunnableImpl.run|Calculator:calc(191)<-L2Character:calcStat(929)<-L2Player:getMaxHp(11974)<-L2Player:checkHpMessages(8560)<-L2Character:runImpl(4501)<-RunnableImpl:run(23)<-SteppingRunnable:run(76)<-SteppingRunnable:run(228)<-Executors:call(511)<-FutureTask:runAndReset$$$capture(308)<-FutureTask:runAndReset(-1)<-ScheduledThreadPoolExecutor:access$301(180)<-ScheduledThreadPoolExecutor:run(294)<-ThreadPoolExecutor:runWorker(1149)<-ThreadPoolExecutor:run(624)<-Thread:run(750)<-
[23.08.19 16:39:57:498]: Exception: RunnableImpl.run|Calculator:calc(191)<-L2Character:calcStat(929)<-L2Player:getMaxHp(11974)<-L2Player:checkHpMessages(8560)<-L2Character:runImpl(4501)<-RunnableImpl:run(23)<-SteppingRunnable:run(76)<-SteppingRunnable:run(228)<-Executors:call(511)<-FutureTask:runAndReset$$$capture(308)<-FutureTask:runAndReset(-1)<-ScheduledThreadPoolExecutor:access$301(180)<-ScheduledThreadPoolExecutor:run(294)<-ThreadPoolExecutor:runWorker(1149)<-ThreadPoolExecutor:run(624)<-Thread:run(750)<-
[23.08.19 16:40:00:828]: Exception: RunnableImpl.run|Calculator:calc(191)<-L2Character:calcStat(929)<-L2Player:getMaxHp(11974)<-L2Player:checkHpMessages(8560)<-L2Character:runImpl(4501)<-RunnableImpl:run(23)<-SteppingRunnable:run(76)<-SteppingRunnable:run(228)<-Executors:call(511)<-FutureTask:runAndReset$$$capture(308)<-FutureTask:runAndReset(-1)<-ScheduledThreadPoolExecutor:access$301(180)<-ScheduledThreadPoolExecutor:run(294)<-ThreadPoolExecutor:runWorker(1149)<-ThreadPoolExecutor:run(624)<-Thread:run(750)<-
[23.08.19 16:40:04:158]: Exception: RunnableImpl.run|Calculator:calc(191)<-L2Character:calcStat(929)<-L2Player:getMaxHp(11974)<-L2Player:checkHpMessages(8560)<-L2Character:runImpl(4501)<-RunnableImpl:run(23)<-SteppingRunnable:run(76)<-SteppingRunnable:run(228)<-Executors:call(511)<-FutureTask:runAndReset$$$capture(308)<-FutureTask:runAndReset(-1)<-ScheduledThreadPoolExecutor:access$301(180)<-ScheduledThreadPoolExecutor:run(294)<-ThreadPoolExecutor:runWorker(1149)<-ThreadPoolExecutor:run(624)<-Thread:run(750)<-
[23.08.19 16:40:07:488]: Exception: RunnableImpl.run|Calculator:calc(191)<-L2Character:calcStat(929)<-L2Player:getMaxHp(11974)<-L2Player:checkHpMessages(8560)<-L2Character:runImpl(4501)<-RunnableImpl:run(23)<-SteppingRunnable:run(76)<-SteppingRunnable:run(228)<-Executors:call(511)<-FutureTask:runAndReset$$$capture(308)<-FutureTask:runAndReset(-1)<-ScheduledThreadPoolExecutor:access$301(180)<-ScheduledThreadPoolExecutor:run(294)<-ThreadPoolExecutor:runWorker(1149)<-ThreadPoolExecutor:run(624)<-Thread:run(750)<-
[23.08.19 16:40:10:817]: Exception: RunnableImpl.run|Calculator:calc(191)<-L2Character:calcStat(929)<-L2Player:getMaxHp(11974)<-L2Player:checkHpMessages(8560)<-L2Character:runImpl(4501)<-RunnableImpl:run(23)<-SteppingRunnable:run(76)<-SteppingRunnable:run(228)<-Executors:call(511)<-FutureTask:runAndReset$$$capture(308)<-FutureTask:runAndReset(-1)<-ScheduledThreadPoolExecutor:access$301(180)<-ScheduledThreadPoolExecutor:run(294)<-ThreadPoolExecutor:runWorker(1149)<-ThreadPoolExecutor:run(624)<-Thread:run(750)<-
[23.08.19 16:40:14:148]: Exception: RunnableImpl.run|Calculator:calc(191)<-L2Character:calcStat(929)<-L2Player:getMaxHp(11974)<-L2Player:checkHpMessages(8560)<-L2Character:runImpl(4501)<-RunnableImpl:run(23)<-SteppingRunnable:run(76)<-SteppingRunnable:run(228)<-Executors:call(511)<-FutureTask:runAndReset$$$capture(308)<-FutureTask:runAndReset(-1)<-ScheduledThreadPoolExecutor:access$301(180)<-ScheduledThreadPoolExecutor:run(294)<-ThreadPoolExecutor:runWorker(1149)<-ThreadPoolExecutor:run(624)<-Thread:run(750)<-
[23.08.19 16:40:17:478]: Exception: RunnableImpl.run|Calculator:calc(191)<-L2Character:calcStat(929)<-L2Player:getMaxHp(11974)<-L2Player:checkHpMessages(8560)<-L2Character:runImpl(4501)<-RunnableImpl:run(23)<-SteppingRunnable:run(76)<-SteppingRunnable:run(228)<-Executors:call(511)<-FutureTask:runAndReset$$$capture(308)<-FutureTask:runAndReset(-1)<-ScheduledThreadPoolExecutor:access$301(180)<-ScheduledThreadPoolExecutor:run(294)<-ThreadPoolExecutor:runWorker(1149)<-ThreadPoolExecutor:run(624)<-Thread:run(750)<-
