[21 авг 19:10:07] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_reload_htm [target: null]
[21 авг 19:11:08] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_reload_htm [target: null]
[21 авг 19:12:04] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_reload_htm [target: null]
[21 авг 19:12:27] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_reload_htm [target: null]
[21 авг 19:13:05] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_reload_htm [target: null]
[21 авг 19:13:16] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_reload_htm [target: null]
[21 авг 19:14:04] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_reload_htm [target: null]
[21 авг 19:14:20] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_reload_htm [target: null]
[21 авг 19:44:06] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_reload_htm [target: null]
[21 авг 19:44:13] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_reload_htm [target: null]
[21 авг 19:45:15] GM Player 'qwerqwe' [oid=268486128, account='chipercu2, ip=127.0.0.1'] command_type:2 success:1 command:admin_admin [target: null]
[21 авг 19:45:16] GM Player 'qwerqwe' [oid=268486128, account='chipercu2, ip=127.0.0.1'] command_type:2 success:1 command:admin_vis [target: null]
[21 авг 20:04:00] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_reload_htm [target: player 'qwerqwe']
[21 авг 20:25:46] GM Player 'qwerqwe' [oid=268486128, account='chipercu2, ip=127.0.0.1'] command_type:2 success:1 command:admin_invis [target: null]
[21 авг 20:25:48] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_in [target: null]
[21 авг 20:25:51] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_invis [target: null]
[21 авг 20:26:43] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_reload_htm [target: null]
[21 авг 20:36:05] GM Player 'qwerqwe' [oid=268486128, account='chipercu2, ip=127.0.0.1'] command_type:2 success:1 command:admin_invis [target: null]
[21 авг 20:36:10] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_invis [target: null]
[21 авг 20:49:17] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_invis [target: null]
[21 авг 20:49:21] GM Player 'qwerqwe' [oid=268486128, account='chipercu2, ip=127.0.0.1'] command_type:2 success:1 command:admin_invis [target: null]
[21 авг 21:09:02] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_invis [target: null]
[21 авг 21:09:07] GM Player 'qwerqwe' [oid=268486128, account='chipercu2, ip=127.0.0.1'] command_type:2 success:1 command:admin_invis [target: null]
[21 авг 21:22:28] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_reload_htm [target: null]
[21 авг 21:24:39] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_reload_htm [target: null]
[21 авг 21:27:11] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_reload_htm [target: null]
[21 авг 21:28:28] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_reload_htm [target: null]
[21 авг 21:31:44] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_reload_htm [target: null]
[21 авг 21:33:43] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_reload_htm [target: null]
[21 авг 21:37:50] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_reload_htm [target: null]
[21 авг 21:39:09] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_reload_htm [target: null]
[21 авг 21:39:55] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_reload_htm [target: null]
[21 авг 21:46:56] GM Player 'pers3' [oid=268486073, account='chipercu3, ip=127.0.0.1'] command_type:2 success:1 command:admin_add_exp_sp_to_character [target: player 'pers3']
[21 авг 21:47:01] GM Player 'pers3' [oid=268486073, account='chipercu3, ip=127.0.0.1'] command_type:2 success:1 command:admin_setlevel 55 [target: player 'pers3']
[21 авг 21:47:03] GM Player 'pers3' [oid=268486073, account='chipercu3, ip=127.0.0.1'] command_type:2 success:1 command:admin_setclass [target: player 'pers3']
[21 авг 21:47:07] GM Player 'pers3' [oid=268486073, account='chipercu3, ip=127.0.0.1'] command_type:2 success:1 command:admin_setclass 16 [target: player 'pers3']
[21 авг 21:47:32] GM Player 'йцукейцуе' [oid=268487570, account='chipercu2, ip=127.0.0.1'] command_type:2 success:1 command:admin_add_exp_sp_to_character [target: player 'йцукейцуе']
[21 авг 21:47:36] GM Player 'йцукейцуе' [oid=268487570, account='chipercu2, ip=127.0.0.1'] command_type:2 success:1 command:admin_setlevel 60 [target: player 'йцукейцуе']
[21 авг 21:47:40] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_add_exp_sp_to_character [target: player 'fakeSB']
[21 авг 21:47:47] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_setlevel 62 [target: player 'fakeSB']
[21 авг 21:47:49] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_setclass [target: player 'fakeSB']
[21 авг 21:47:54] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_server charclasses3.htm [target: player 'fakeSB']
[21 авг 21:48:00] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_setclass 135 [target: player 'fakeSB']
[21 авг 21:48:07] GM Player 'йцукейцуе' [oid=268487570, account='chipercu2, ip=127.0.0.1'] command_type:2 success:1 command:admin_setclass [target: player 'йцукейцуе']
[21 авг 21:48:09] GM Player 'йцукейцуе' [oid=268487570, account='chipercu2, ip=127.0.0.1'] command_type:2 success:1 command:admin_server charclasses3.htm [target: player 'йцукейцуе']
[21 авг 21:48:10] GM Player 'йцукейцуе' [oid=268487570, account='chipercu2, ip=127.0.0.1'] command_type:2 success:1 command:admin_setclass 127 [target: player 'йцукейцуе']
[21 авг 21:59:28] GM Player 'pers3' [oid=268486073, account='chipercu3, ip=127.0.0.1'] command_type:2 success:1 command:admin_invis [target: player 'pers3']
[21 авг 21:59:34] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_invis [target: player 'fakeSB']
[21 авг 21:59:40] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_admin [target: player 'fakeSB']
[21 авг 21:59:42] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_show_html events/events.htm [target: player 'fakeSB']
[21 авг 21:59:44] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_char_manage [target: player 'fakeSB']
[21 авг 21:59:44] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_show_characters 0 [target: player 'fakeSB']
[21 авг 21:59:46] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_character_list pers3 [target: player 'pers3']
[21 авг 21:59:47] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_recall_char_menu pers3 [target: player 'pers3']
[21 авг 22:02:19] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_reload_htm [target: player 'pers3']
[21 авг 22:21:00] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_reload_htm [target: null]
[21 авг 22:31:10] GM Player 'pers3' [oid=268486073, account='chipercu3, ip=127.0.0.1'] command_type:2 success:1 command:admin_invis [target: null]
[21 авг 22:31:15] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_invis [target: null]
